Week,Gameday,Picker,Vistor,Home,Player,Position,1st TD Odds,Result,1st TD Bankroll,ATTS,ATTS Odds,ATTS Bankroll,Actual Result,Position,Odds,,
16,Thursday,Tony,LA Rams,Seattle,,,,,,,,,,,,,
16,Saturday,Luke,Green Bay,Chicago,,,,,,,,,,,,,
16,Saturday,Jeremy,Philadelphia,Washington,,,,,,,,,,,,,
16,Sunday,Phil,Cincinnati,Miami,,,,,,,,,,,,,
16,Monday,Anders,San Fran,Indianapolis,,,,,,,,,,,,,
17,Thursday,Neil,Dallas,Washington,JCM,,,,,,,,,,,,
17,Thursday,Dan C,Detriot,Minnesota,,,,,,,,,,,,,
17,Thursday,Tony,Denver,Kansas City,,,,,,,,,,,,,
17,Sunday,Luke,Chicago,San Fran,,,,,,,,,,,,,
17,Monday,Jeremy,LA Rams,Atlanta,,,,,,,,,,,,,
,,Phil,,,,,,,,,,,,,,,
,,Anders,,,,,,,,,,,,,,,
,,Neil,,,,,,,,,,,,,,,
,,Dan C,,,,,,,,,,,,,,,
,,Tony,,,,,,,,,,,,,,,
,,Luke,,,,,,,,,,,,,,,
WC,,,,,,,,,,,,,,,,,
WC,,,,,,,,,,,,,,,,,
WC,,,,,,,,,,,,,,,,,
WC,,,,,,,,,,,,,,,,,
WC,,,,,,,,,,,,,,,,,
WC,,,,,,,,,,,,,,,,,
DIV,,,,,,,,,,,,,,,,,
DIV,,,,,,,,,,,,,,,,,
DIV,,,,,,,,,,,,,,,,,
DIV,,,,,,,,,,,,,,,,,
CHAMP,,,,,,,,,,,,,,,,,
CHAMP,,,,,,,,,,,,,,,,,
SB,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,odds <1000,1000<odds<=2000,Odds>2000,,,Player,Odds,Results,,,Odds,,,Player,Odds,,
Phil,3,3,0,,Jeremy,Sterling Sheppard,2200,L,,,,,QB,Caleb Williams,2000,,
Anders,3,3,0,,,Fields,1100,L,,,,,,Bo Nix,1400,,
Neil,1,3,2,,,Joshua Palmer,2000,L,,,,,,Jaxson Dart,1600,,
Dan C,5,1,0,,,Golden,1200,L,,,,,,Caleb Williams,2000,,
Tony,2,3,0,,,Christian Watson,1500,L,,,,,,Justin Fields,1500,,
Luke,0,3,1,,,Wicks,2200,W,,,,,,,,,
Jeremy,0,4,2,,,,,,,,,,,,,,
